State,Cases with final orders,Total disposed cases,Percentage
Andhra Pradesh,5783,42307,13.67
Assam,173,18852,0.92
Bihar,981,7032,13.95
Chandigarh,380,550,69.09
Chhattisgarh,1538,15801,9.73
DNH at Silvasa,849,1456,58.31
Delhi,34423,85694,40.17
Goa,4081,31628,12.9
Gujarat,13579,44382,30.6
Haryana,5851,6535,89.53
Himachal Pradesh,2225,9698,22.94
Jammu and Kashmir,813,3406,23.87
Jharkhand,1320,18620,7.09
Karnataka,33838,35356,95.71
Kerala,6265,32413,19.33
Madhya Pradesh,1001,16669,6.01
Maharashtra,4013,15126,26.53
Manipur,175,1402,12.48
Meghalaya,25,370,6.76
Orissa,552,2889,19.11
Punjab,26607,41993,63.36
Rajasthan,432,24027,1.8
Sikkim,326,360,90.56
Tamil Nadu,166,6376,2.6
Telangana,2530,23745,10.65
Tripura,2436,2473,98.5
Uttar Pradesh,3698,21389,17.29
Uttarakhand,515,11982,4.3
West Bengal,2989,23350,12.8
